"Rank","Name","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"73","DeSean Jackson","TB","WR34","11","43","129","79.1","16.2","89.0","+16.0"
"74","Adrian Peterson","NO","RB30","5","51","164","79.7","19.3","71.0","-3.0"
"75","Tyler Eifert","CIN","TE6","6","49","134","80.5","15.8","67.0","-8.0"
"76","Kirk Cousins","WAS","QB6","5","53","127","78.4","14.5","78.0","+2.0"
"77","Marcus Mariota","TEN","QB7","8","40","165","78.6","21.1","68.0","-9.0"
"78","Paul Perkins","NYG","RB31","8","48","151","81.7","17.2","83.0","+5.0"
"79","Robert Kelley","WAS","RB32","5","44","147","81.8","20.4","80.0","+1.0"
"80","Kyle Rudolph","MIN","TE7","9","53","125","82.7","12.5","76.0","-4.0"
"81","Danny Woodhead","BAL","RB33","10","36","213","84.0","26.9","86.0","+5.0"
"82","Jameis Winston","TB","QB8","11","55","164","83.3","17.3","72.0","-10.0"
"83","Jeremy Maclin","BAL","WR35","10","49","148","86.5","18.0","98.0","+15.0"
"84","Cam Newton","CAR","QB9","11","38","133","85.8","16.9","69.0","-15.0"
"85","Zach Ertz","PHI","TE8","10","60","126","87.8","15.9","91.0","+6.0"
"86","Tyrell Williams","LAC","WR36","9","47","137","86.3","19.3","113.0","+27.0"
"87","Delanie Walker","TEN","TE9","8","55","114","89.1","12.8","77.0","-10.0"
"88","Derrick Henry","TEN","RB34","8","63","133","90.9","16.0","87.0","-1.0"
"89","Eric Decker","TEN","WR37","8","51","148","91.7","17.1","95.0","+6.0"
"90","Donte Moncrief","IND","WR38","11","55","150","93.2","18.5","97.0","+7.0"
"91","Ben Roethlisberger","PIT","QB10","9","43","135","92.3","18.7","94.0","+3.0"
"92","Jonathan Stewart","CAR","RB35","11","64","127","94.8","15.1","99.0","+7.0"
"93","Derek Carr","OAK","QB11","10","42","147","93.2","19.5","75.0","-18.0"
"94","LeGarrette Blount","PHI","RB36","10","41","141","95.4","23.3","79.0","-15.0"
"95","Dak Prescott","DAL","QB12","6","66","145","96.1","16.8","92.0","-3.0"
"96","Kenny Britt","CLE","WR39","9","50","152","101.4","20.5","120.0","+24.0"
"97","Martellus Bennett","GB","TE10","8","72","136","101.6","15.1","81.0","-16.0"
"98","Willie nead NO S","WR40","5","26","203","102.4","27.7","85.0","-13.0"
"99","Matthew Stafford","DET","QB13","7","53","162","101.7","17.7","105.0","+6.0"
"100","Philip Rivers","LAC","QB14","9","56","168","102.4","21.1","109.0","+9.0"
"101","Theo Riddick","DET","RB37","7","69","147","105.2","18.6","102.0","+1.0"
"102","Adam Thielen","MIN","WR41","9","70","159","105.6","20.4","124.0","+22.0"
"103","Andrew Luck","IND","QB15","11","44","174","104.3","25.0","84.0","-19.0"
"104","Eddie Lacy","SEA","RB38","6","57","184","106.2","24.9","90.0","-14.0"
"105","Chris Hogan","NE","WR42","9","53","239","106.5","30.7","116.0","+11.0"
"106","Randall Cobb","GB","WR43","8","71","159","107.8","17.8","93.0","-13.0"
"107","Duke Johnson","CLE","RB39","9","67","158","108.7","20.5","118.0","+11.0"
"108","Hunter Henry","LAC","TE11","9","59","166","107.7","18.0","107.0","-1.0"
"109","Mike Wallace","BAL","WR44","10","65","151","110.4","20.6","128.0","+19.0"
"110","Thomas Rawls","SEA","RB40","6","57","177","112.1","27.1","104.0","-6.0"
"111","Corey Coleman","CLE","WR45","9","78","144","112.6","17.0","110.0","-1.0"
"112","John Brown","ARI","WR46","8","69","180","113.1","21.2","122.0","+10.0"
"113","Jordan Matthews","BUF","WR47","6","78","157","113.5","18.9","149.0","+36.0"
"114","Eric Ebron","DET","TE12","7","80","154","114.5","15.9","127.0","+13.0"
"115","Rishard Matthews","TEN","WR48","8","60","217","118.1","24.8","132.0","+17.0"
"116","Darren McFadden","DAL","RB41","6","70","176","118.8","23.1","101.0","-15.0"
"117","Andy Dalton","CIN","QB16","6","69","173","116.8","18.9","147.0","+30.0"
"118","Matt Forte","NYJ","RB42","11","30","211","119.0","28.9","114.0","-4.0"
"119","Ted Ginn","NO","WR49","5","73","243","118.1","29.9","140.0","+21.0"
"120","Eli Manning","NYG","QB17","8","81","193","119.8","20.4","136.0","+16.0"
"121","Jack Doyle","IND","TE13","11","84","232","123.1","23.6","123.0","+2.0"
"122","Marvin Jones","DET","WR50","7","73","224","121.7","24.9","129.0","+7.0"
"123","James White","NE","RB43","9","67","163","119.1","20.5","126.0","+3.0"
"124","Corey Davis","TEN","WR51","8","43","262","127.0","32.2","111.0","-13.0"
