"Rank","Name","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"322","Roberto Aguayo","FA","K25","","200","274","230.5","27.1","343.0","+21.0"
"323","Vernon Davis","WAS","TE39","5","200","330","239.6","36.8","367.0","+44.0"
"324","Dallas Cowboys","","DST26","6","203","211","207.0","4.0","212.0","-112.0"
"325","Deonte Thompson","CHI","WR107","9","201","230","215.5","14.5","",""
"326","Alfred Blue","HOU","RB91","7","207","244","221.8","15.3","378.0","+52.0"
"327","Chester Rogers","IND","WR108","11","205","270","228.3","29.5","",""
"328","Ryan Mathews","FA","RB92","","207","249","232.5","16.5","301.0","-27.0"
"329","Benny Cunningham","CHI","RB93","9","208","276","239.5","31.2","350.0","+21.0"
"330","Charone Peake","NYJ","WR109","11","211","266","240.1","18.4","382.0","+52.0"
"331","Josh Gordon CLE ","WR110","9","234","260","242.7","12.3","304.0","-27.0"
"332","Dion Sims","CHI","TE40","9","219","274","243.7","22.8","",""
"333","Albert Wilson","KC","WR111","10","203","292","244.4","29.9","",""
"334","Washington Redskins","","DST27","5","223","263","246.0","16.9","",""
"335","Phillip Dorsett","NE","WR112","9","213","299","246.3","28.9","335.0","0.0"
"336","Donnel Pumphrey","PHI","RB94","10","211","270","246.5","21.7","257.0","-79.0"
"337","Andre Holmes","BUF","WR113","6","208","291","248.8","29.6","",""
"338","Sammie Coates","CLE","WR114","9","242","261","249.0","8.5","",""
"339","Elijah Hood","OAK","RB95","10","205","278","250.0","24.6","",""
"340","Chicago Bears","","DST28","9","227","277","250.3","20.5","",""
"341","Lance Dunbar","LAR","RB96","8","217","277","251.0","25.1","366.0","+25.0"
"342","Damien Williams","MIA","RB97","11","205","326","251.1","30.5","356.0","+14.0"
"343","Chris Johnson","FA","RB98","","249","256","252.5","3.5","280.0","-63.0"
"344","Michael Floyd MIN ","WR115","9","219","308","254.9","24.6","338.0","-6.0"
"345","Kamar Aiken","IND","WR116","11","201","366","256.5","41.3","324.0","-21.0"
"346","Carlos Henderson DEN ","WR117","5","227","286","256.5","29.5","249.0","-97.0"
"347","Jeremy McNichols","SF","RB99","11","212","346","257.5","52.1","328.0","-19.0"
"348","A.J. Derby","DEN","TE41","5","244","275","259.5","15.5","",""
"349","Seth DeValve","CLE","TE42","9","225","338","261.6","40.0","370.0","+21.0"
"350","Jeremy Langford","BAL","RB100","10","241","287","261.8","14.6","278.0","-72.0"
"351","Marcedes Lewis","JAC","TE43","8","234","323","262.5","35.3","",""
"352","Malcolm Brown","LAR","RB101","8","245","314","264.3","28.8","380.0","+28.0"
"353","Ryan Griffin","HOU","TE44","7","234","361","269.5","53.0","",""
"354","Andre Ellington","ARI","RB102","8","211","348","270.2","53.7","316.0","-38.0"
"355","Brock Osweiler","DEN","QB39","5","209","333","271.0","62.0","313.0","-42.0"
"356","Geronimo Allison GB ","WR118","8","250","301","275.5","25.5","294.0","-62.0"
"357","Ricardo Louis","CLE","WR119","9","225","356","275.8","48.6","",""
"358","Brian Quick","WAS","WR120","5","238","341","276.0","39.0","",""
"359","Patrick Mahomes","KC","QB40","10","238","314","276.0","38.0","303.0","-56.0"
"360","Kai Forbath","MIN","K26","9","246","318","282.0","36.0","315.0","-45.0"
"361","Russell Shepard","CAR","WR121","11","269","299","284.0","15.0","",""
"362","C.J. Spiller","KC","RB103","10","252","327","289.5","37.5","248.0","-114.0"
"363","San Francisco 49ers","","DST29","11","258","328","293.0","35.0","",""
"364","Trey Burton","PHI","TE45","10","277","309","293.0","16.0","",""
"365","Cordarrelle Patterson","OAK","WR122","10","252","353","294.0","41.5","247.0","-118.0"
"366","Dontrelle Inman","LAC","WR123","9","251","326","297.7","33.2","357.0","-9.0"
"367","Matt Barkley","FA","QB41","","290","311","300.5","10.5","311.0","-56.0"
"368","Jason Myers","JAC","K27","8","296","309","302.5","6.5","397.0","+29.0"
"369","Indianapolis Colts","","DST30","11","298","333","315.5","17.5","",""
"370","Victor Cruz","FA","WR124","","289","347","318.0","29.0","359.0","-11.0"
"371","Andrew Franks","FA","K28","","305","331","318.0","13.0","383.0","+12.0"
"372","Virgil Green","DEN","TE46","5","311","327","319.0","8.0","",""
"373","Cameron Artis-Payne","CAR","RB104","11","276","354","319.3","32.4","364.0","-9.0"
""
""
