"Rank","Name","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"322","Nick Boyle","BAL","TE42","10","215","248","231.5","16.5","372.0","+50.0"
"323","Mike Nugent","FA","K21","","226","242","232.0","6.1","",""
"324","Ryan Succop","TEN","K22","8","226","239","234.3","5.9","353.0","+29.0"
"325","Marcedes Lewis","JAC","TE43","8","201","270","234.7","28.2","",""
"326","Geronimo Allison GB ","WR110","8","212","258","235.0","23.0","260.0","-66.0"
"327","Phil Dawson","ARI","K23","8","211","259","235.2","13.5","328.0","+1.0"
"328","Roberto Aguayo","FA","K24","","225","240","235.3","6.0","345.0","+17.0"
"329","Aldrick Rosas","NYG","K25","8","233","240","236.5","3.5","321.0","-8.0"
"330","Detroit Lions","","DST25","7","214","257","236.9","16.1","325.0","-5.0"
"331","Ryan Switzer","DAL","WR111","6","210","265","237.5","27.5","254.0","-77.0"
"332","Cordarrelle Patterson","OAK","WR112","10","228","246","239.3","8.1","293.0","-39.0"
"333","Alfred Blue","HOU","RB91","7","207","275","240.5","24.2","375.0","+42.0"
"334","Seth DeValve","CLE","TE44","9","213","255","241.0","19.8","368.0","+34.0"
"335","Ryan Griffin","HOU","TE45","7","207","270","242.4","22.6","395.0","+60.0"
"336","Victor Cruz","FA","WR113","","228","268","242.7","18.0","343.0","+7.0"
"337","Josh Lambo","FA","K26","","230","267","243.8","12.4","330.0","-7.0"
"338","Chris Godwin","TB","WR114","11","209","266","244.0","21.5","257.0","-81.0"
"339","Luke Willson","SEA","TE46","6","240","248","244.0","4.0","",""
"340","Dallas Cowboys","","DST26","6","230","266","244.5","13.2","317.0","-23.0"
"341","Lance Kendricks","GB","TE47","8","204","272","245.7","29.8","",""
"342","Chicago Bears","","DST27","9","234","260","247.0","13.0","320.0","-22.0"
"343","Brian Quick","WAS","WR115","5","229","278","248.3","21.3","",""
"344","A.J. Derby","DEN","TE48","5","231","271","251.0","13.4","",""
"345","Sammie Coates","CLE","WR116","9","240","263","251.5","11.5","354.0","+9.0"
"346","Damien Williams","MIA","RB92","11","230","278","252.3","16.8","347.0","+1.0"
"347","Chris Ivory","JAC","RB93","8","218","280","252.8","20.1","231.0","-116.0"
"348","Levine Toilolo","ATL","TE49","5","238","268","253.0","15.0","",""
"349","JuJu Smith-Schuster","PIT","WR117","9","201","280","253.4","31.2","264.0","-85.0"
"350","Lance Dunbar","LAR","RB94","8","235","280","253.8","18.4","",""
"351","Kamar Aiken","IND","WR118","11","222","276","255.3","15.6","309.0","-42.0"
"352","Dontrelle Inman","LAC","WR119","9","219","282","256.0","23.4","340.0","-12.0"
"353","Dwayne Washington","DET","RB95","7","231","277","256.0","19.0","342.0","-11.0"
"354","C.J. Uzomah","CIN","TE50","6","241","271","256.0","15.0","",""
"355","Aldrick Robinson","SF","WR120","11","234","280","257.0","23.0","",""
"356","Richard Rodgers","GB","TE51","8","204","312","258.0","54.0","",""
"357","Jordan Leggett","NYJ","TE52","11","250","266","258.3","6.5","",""
"358","Dion Sims","CHI","TE53","9","239","323","259.3","29.5","369.0","+11.0"
"359","Tyler Ervin","HOU","RB96","7","252","270","261.0","9.0","392.0","+33.0"
"360","Andre Ellington","ARI","RB97","8","225","321","262.3","27.3","",""
"361","Joe Banyard","BUF","RB98","6","252","277","264.5","12.5","",""
"362","Michael Floyd MIN ","WR121","9","236","297","273.0","18.5","346.0","-16.0"
"363","Adam Shaheen","CHI","TE54","9","254","328","274.2","24.8","370.0","+7.0"
"364","Malcolm Brown","LAR","RB99","8","263","288","275.5","12.5","382.0","+18.0"
"365","Jeremy Langford","BAL","RB100","10","269","285","277.4","5.5","273.0","-92.0"
"366","Brian Hill","ATL","RB101","5","256","299","277.5","21.5","",""
"367","Jeremy McNichols","SF","RB102","11","241","329","277.7","37.4","299.0","-68.0"
"368","Fozzy Whittaker","CAR","RB103","11","280","285","282.5","2.5","",""
"369","Donnel Pumphrey","PHI","RB104","10","263","340","292.7","33.8","255.0","-114.0"
"370","Chester Rogers","IND","WR122","11","209","399","293.0","79.1","256.0","-114.0"
"371","Elijah Hood","OAK","RB105","10","235","375","293.3","50.9","",""
"372","Jake Butt","DEN","TE55","5","262","371","316.5","54.5","381.0","+9.0"
"373","Pharoh Cooper","LAR","WR123","8","251","383","317.0","66.0","",""
"374","Ka'Deem Carey CHI ","RB106","9","263","376","319.5","56.5","",""
"375","Peyton Barber","TB","RB107","11","263","388","325.5","62.5","",""
"376","Kenneth Farrow","FA","RB108","","285","378","331.5","46.5","",""
