"Rank","Name","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"73","Zach Ertz","PHI","TE7","10","31","126","79.3","18.4","75.0","+2.0"
"74","Theo Riddick","DET","RB28","7","50","134","79.5","18.9","80.0","+6.0"
"75","Tyler Eifert","CIN","TE8","6","50","129","80.1","16.6","77.0","+2.0"
"76","Kirk Cousins","WAS","QB6","5","58","149","80.2","17.3","84.0","+8.0"
"77","Duke Johnson","CLE","RB29","9","52","133","83.8","19.1","94.0","+17.0"
"78","DeSean Jackson","TB","WR35","11","59","148","81.9","13.2","88.0","+10.0"
"79","Marcus Mariota","TEN","QB7","8","54","163","79.7","20.4","83.0","+4.0"
"80","Mike Gillislee","NE","RB30","9","55","120","86.4","16.2","72.0","-8.0"
"81","Doug Martin TB ","RB31","11","43","138","86.4","21.2","73.0","-8.0"
"82","Delanie Walker","TEN","TE9","8","13","115","87.0","16.5","76.0","-6.0"
"83","Terrance West","BAL","RB32","10","26","145","87.0","23.4","97.0","+14.0"
"84","Jameis Winston","TB","QB8","11","58","149","85.6","16.9","79.0","-5.0"
"85","Tyrell Williams","LAC","WR36","9","39","128","88.0","19.9","95.0","+10.0"
"86","Paul Perkins","NYG","RB33","8","56","124","90.6","16.6","81.0","-5.0"
"87","Cam Newton","CAR","QB9","11","58","165","85.7","19.3","87.0","0.0"
"88","Adrian Peterson","NO","RB34","5","64","169","91.5","20.8","70.0","-18.0"
"89","Eric Decker","TEN","WR37","8","62","162","91.6","16.6","93.0","+4.0"
"90","Donte Moncrief","IND","WR38","11","69","175","95.3","19.7","90.0","0.0"
"91","Willie nead NO S","WR39","5","47","215","98.2","24.7","74.0","-17.0"
"92","James White","NE","RB35","9","44","166","97.9","22.1","105.0","+13.0"
"93","Kenny Britt","CLE","WR40","9","49","142","97.0","18.7","109.0","+16.0"
"94","Randall Cobb","GB","WR41","8","69","149","97.2","16.3","92.0","-2.0"
"95","Robert Kelley","WAS","RB36","5","62","159","100.2","23.5","85.0","-10.0"
"96","Adam Thielen","MIN","WR42","9","68","156","98.5","19.4","99.0","+3.0"
"97","Martellus Bennett","GB","TE10","8","66","135","100.7","14.9","89.0","-8.0"
"98","Derek Carr","OAK","QB10","10","58","151","99.6","18.1","82.0","-16.0"
"99","Ben Roethlisberger","PIT","QB11","9","54","154","97.5","23.2","102.0","+3.0"
"100","Jordan Matthews","BUF","WR43","6","73","146","102.2","18.5","115.0","+15.0"
"101","Corey Coleman","CLE","WR44","9","77","140","103.2","14.2","106.0","+5.0"
"102","Chris Hogan","NE","WR45","9","65","233","106.1","27.9","104.0","+2.0"
"103","Dak Prescott","DAL","QB12","6","70","151","103.8","19.7","107.0","+4.0"
"104","Mike Wallace","BAL","WR46","10","52","164","104.2","19.6","108.0","+4.0"
"105","Andrew Luck","IND","QB13","11","53","177","105.2","31.0","96.0","-9.0"
"106","Darren Sproles","PHI","RB37","10","51","246","107.6","36.4","120.0","+14.0"
"107","Derrick Henry","TEN","RB38","8","75","161","108.2","20.9","91.0","-16.0"
"108","John Brown","ARI","WR47","8","68","180","108.9","24.3","119.0","+11.0"
"109","Matthew Stafford","DET","QB14","7","63","164","109.5","19.1","110.0","+1.0"
"110","Philip Rivers","LAC","QB15","9","79","173","109.9","18.6","117.0","+7.0"
"111","Hunter Henry","LAC","TE11","9","66","144","112.8","16.8","103.0","-8.0"
"112","Eric Ebron","DET","TE12","7","77","142","111.0","14.4","118.0","+6.0"
"113","Jack Doyle","IND","TE13","11","72","241","117.3","26.1","125.0","+12.0"
"114","Matt Forte","NYJ","RB39","11","53","163","115.1","21.0","121.0","+7.0"
"115","Rishard Matthews","TEN","WR48","8","70","205","117.7","25.2","116.0","+1.0"
"116","Jonathan Stewart","CAR","RB40","11","75","163","120.9","18.5","114.0","-2.0"
"117","Ted Ginn","NO","WR49","5","72","250","119.4","31.9","130.0","+13.0"
"118","C.J. Prosise","SEA","RB41","6","76","191","120.8","24.3","124.0","+6.0"
"119","Darren McFadden","DAL","RB42","6","76","187","123.0","23.4","100.0","-19.0"
"120","LeGarrette Blount","PHI","RB43","10","67","181","123.1","29.4","101.0","-19.0"
"121","Corey Davis","TEN","WR50","8","43","180","121.6","25.3","112.0","-9.0"
"122","Marvin Jones","DET","WR51","7","68","219","121.8","26.0","113.0","-9.0"
"123","Eddie Lacy","SEA","RB44","6","74","234","125.6","33.0","98.0","-25.0"
"124","Andy Dalton","CIN","QB16","6","88","171","123.4","17.9","134.0","+10.0"
"125","Thomas Rawls","SEA","RB45","6","70","224","127.6","30.8","111.0","-14.0"
"126","Eli Manning","NYG","QB17","8","71","193","125.9","20.8","133.0","+7.0"
"127","Jason Witten","DAL","TE14","6","74","189","127.7","21.3","138.0","+11.0"
"128","Kevin White","CHI","WR52","9","71","194","128.2","28.2","135.0","+7.0"
"129","Zay Jones","BUF","WR53","6","73","176","131.0","22.8","126.0","-3.0"
"130","Rex Burkhead","NE","RB46","9","72","219","127.8","28.2","141.0","+11.0"
"131","Sterling Shepard","NYG","WR54","8","89","203","140.2","26.0","145.0","+14.0"
"132","Coby Fleener","NO","TE15","5","104","206","136.1","20.9","154.0","+22.0"
"133","Jacquizz Rodgers","TB","RB47","11","60","234","141.3","40.2","128.0","-5.0"
"134","Cole Beasley","DAL","WR55","6","45","227","141.1","39.9","150.0","+16.0"
"135","Carson Palmer","ARI","QB18","8","110","193","141.6","18.1","151.0","+16.0"
"136","Shane Vereen","NYG","RB48","8","58","276","141.3","42.4","180.0","+44.0"
"137","Robby Anderson","NYJ","WR56","11","103","225","136.6","27.7","156.0","+19.0"
"138","Austin Hooper","ATL","TE16","5","102","197","142.3","20.7","148.0","+10.0"
"139","Carson Wentz","PHI","QB19","10","107","194","144.0","20.0","137.0","-2.0"
"140","Giovani Bernard","CIN","RB49","6","87","249","143.0","34.3","149.0","+9.0"
"141","Chris Thompson","WAS","RB50","5","81","237","143.1","37.0","190.0","+49.0"
"142","C.J. Fiedorowicz","HOU","TE17","7","35","207","143.0","28.5","202.0","+60.0"
"143","Tyrod Taylor","BUF","QB20","6","85","191","143.3","24.2","160.0","+17.0"
"144","Denver Broncos","","DST1","5","125","186","142.4","14.3","122.0","-22.0"
"145","Seattle Seahawks","","DST2","6","117","190","143.4","15.1","123.0","-22.0"
"146","Cameron Brate","TB","TE18","11","92","195","147.9","24.2","174.0","+28.0"
"147","Cooper Kupp","LAR","WR57","8","91","233","150.2","34.5","143.0","-4.0"
"148","Houston Texans","","DST3","7","119","194","148.7","16.8","131.0","-17.0"
"149","Alvin Kamara","NO","RB51","5","114","227","150.9","25.2","163.0","+14.0"
"150","Tyler Lockett","SEA","WR58","6","111","212","152.0","19.9","158.0","+8.0"
"151","Jeremy Hill","CIN","RB52","6","94","246","154.2","35.3","155.0","+4.0"
"152","Jamaal Charles","DEN","RB53","5","96","251","154.5","38.4","136.0","-16.0"
"153","Jamaal Williams","GB","RB54","8","99","231","156.8","32.8","144.0","-9.0"
"154","Samaje Perine","WAS","RB55","5","87","232","156.9","29.0","139.0","-15.0"
"155","Kansas City Chiefs","","DST4","10","121","195","151.9","15.1","132.0","-23.0"
"156","Julius Thomas","MIA","TE19","11","109","254","155.3","28.6","168.0","+12.0"
"157","Kendall Wright","CHI","WR59","9","76","254","156.1","35.9","186.0","+29.0"
"158","Josh Doctson","WAS","WR60","5","104","243","161.9","37.2","170.0","+12.0"
"159","Kenny Stills","MIA","WR61","11","75","248","163.0","30.2","184.0","+25.0"
"160","Marqise Lee","JAC","WR62","8","109","236","163.8","29.1","204.0","+44.0"
"161","Minnesota Vikings","","DST5","9","125","201","160.3","15.0","152.0","-9.0"
"162","Antonio Gates","LAC","TE20","9","133","199","162.5","18.0","178.0","+16.0"
"163","Arizona Cardinals","","DST6","8","128","206","162.0","19.1","146.0","-17.0"
"164","Kenny Golladay","DET","WR63","7","97","216","162.9","34.1","164.0","0.0"
"165","DeAndre Washington","OAK","RB56","10","113","240","169.6","37.1","187.0","+22.0"
"166","Evan Engram","NYG","TE21","8","117","261","170.0","29.9","162.0","-4.0"
"167","New England Patriots","","DST7","9","132","201","168.7","16.9","147.0","-20.0"
"168","Charles Sims","TB","RB57","11","113","251","172.3","31.0","233.0","+65.0"
"169","Latavius Murray","MIN","RB58","9","104","263","177.7","39.5","157.0","-12.0"
"170","Joe Flacco","BAL","QB21","10","122","225","169.4","19.8","206.0","+36.0"
"171","Sam Bradford","MIN","QB22","9","125","237","167.7","26.7","205.0","+34.0"
"172","Breshad Perriman","BAL","WR64","10","128","271","178.0","33.8","201.0","+29.0"
"173","Stephen Gostkowski","NE","K1","9","134","202","169.3","12.6","127.0","-46.0"
"174","Mohamed Sanu","ATL","WR65","5","80","274","177.8","37.6","176.0","+2.0"
"175","Justin Tucker","BAL","K2","10","137","240","172.1","16.8","129.0","-46.0"
"176","Charles Clay","BUF","TE22","6","107","256","173.2","30.8","234.0","+58.0"
"177","Jay Cutler","MIA","QB23","11","126","261","169.7","26.5","188.0","+11.0"
"178","D'Onta Foreman","HOU","RB59","7","120","278","176.9","36.4","189.0","+11.0"
"179","Devin Funchess","CAR","WR66","11","120","256","179.4","33.7","235.0","+56.0"
"180","Taylor Gabriel","ATL","WR67","5","118","263","179.7","37.1","173.0","-7.0"
"181","Jared Cook","OAK","TE23","10","115","263","177.2","33.3","191.0","+10.0"
"182","Torrey Smith","PHI","WR68","10","110","276","184.4","41.9","210.0","+28.0"
"183","Marlon Mack","IND","RB60","11","96","283","180.2","44.8","175.0","-8.0"
"184","Dion Lewis","NE","RB61","9","123","254","177.0","27.9","193.0","+9.0"
"185","Danny Amendola","NE","WR69","9","104","216","168.3","29.1","159.0","-26.0"
"186","O.J. Howard","TB","TE24","11","106","238","178.6","28.3","142.0","-44.0"
"187","Dan Bailey","DAL","K3","6","139","217","178.4","15.4","153.0","-34.0"
"188","Matt Bryant","ATL","K4","5","145","237","179.5","19.9","140.0","-48.0"
"189","New York Giants","","DST8","8","147","210","177.3","18.0","166.0","-23.0"
"190","Wendell Smallwood","PHI","RB62","10","120","274","187.5","40.7","177.0","-13.0"
"191","Robert Woods","LAR","WR70","8","101","277","190.2","38.5","249.0","+58.0"
"192","Blake Bortles","JAC","QB24","8","121","247","179.5","29.6","285.0","+93.0"
"193","Alex Smith","KC","QB25","10","131","249","181.4","23.1","238.0","+45.0"
"194","J.J. Nelson","ARI","WR71","8","107","258","192.2","34.4","207.0","+13.0"
"195","John Ross","CIN","WR72","6","83","266","191.4","42.4","167.0","-28.0"
"196","Carolina Panthers","","DST9","11","142","229","183.8","18.5","171.0","-25.0"
"197","Mason Crosby","GB","K5","8","154","243","185.5","17.8","165.0","-32.0"
"198","Nelson Agholor","PHI","WR73","10","108","271","188.7","37.5","274.0","+76.0"
"199","David Njoku","CLE","TE25","9","116","264","193.1","30.0","211.0","+12.0"
"200","Tavon Austin","LAR","WR74","8","108","282","201.7","47.9","224.0","+24.0"
"201","Jonathan Williams","FA","RB63","","105","279","185.8","46.5","169.0","-32.0"
"202","Jalen Richard","OAK","RB64","10","137","266","197.7","33.1","209.0","+7.0"
